date,open,high,low,close,volume,average,barCount
2025-01-24 09:30:00-05:00,224.78,225.63,224.77,225.62,1765973.0,225.036,1667
2025-01-24 09:30:10-05:00,225.63,225.63,225.05,225.15,137394.0,225.24,847
2025-01-24 09:30:20-05:00,225.15,225.25,225.11,225.23,60218.0,225.175,339
2025-01-24 09:30:30-05:00,225.24,225.38,225.21,225.32,102074.0,225.313,536
2025-01-24 09:30:40-05:00,225.34,225.38,225.15,225.31,46699.0,225.294,188
2025-01-24 09:30:50-05:00,225.28,225.38,225.03,225.08,73216.0,225.22,333
2025-01-24 09:31:00-05:00,225.09,225.49,225.09,225.34,83729.0,225.298,360
2025-01-24 09:31:10-05:00,225.34,225.5,225.29,225.3,73239.0,225.412,285
2025-01-24 09:31:20-05:00,225.32,225.35,225.0,225.03,49716.0,225.152,240
2025-01-24 09:31:30-05:00,225.01,225.08,224.84,225.03,35521.0,224.958,209
2025-01-24 09:31:40-05:00,225.01,225.13,224.91,224.92,47885.0,225.032,254
2025-01-24 09:31:50-05:00,224.91,224.99,224.72,224.98,67612.0,224.889,341
2025-01-24 09:32:00-05:00,224.97,225.11,224.95,225.04,65532.0,225.028,320
2025-01-24 09:32:10-05:00,225.05,225.05,224.56,224.86,79975.0,224.733,409
2025-01-24 09:32:20-05:00,224.86,224.96,224.75,224.86,46393.0,224.864,258
2025-01-24 09:32:30-05:00,224.86,224.99,224.85,224.95,42715.0,224.921,231
2025-01-24 09:32:40-05:00,224.91,225.0,224.77,224.96,33132.0,224.903,202
2025-01-24 09:32:50-05:00,224.96,224.98,224.85,224.88,17195.0,224.905,102
2025-01-24 09:33:00-05:00,224.87,224.99,224.72,224.84,32239.0,224.834,205
2025-01-24 09:33:10-05:00,224.85,225.02,224.84,225.0,33467.0,224.956,180
2025-01-24 09:33:20-05:00,224.99,225.05,224.86,225.05,23349.0,224.968,123
2025-01-24 09:33:30-05:00,225.05,225.05,224.88,224.88,21412.0,224.972,108
2025-01-24 09:33:40-05:00,224.95,225.04,224.9,225.02,20562.0,224.974,146
2025-01-24 09:33:50-05:00,224.98,224.98,224.89,224.96,16220.0,224.936,111
2025-01-24 09:34:00-05:00,224.94,224.98,224.79,224.9,34022.0,224.865,195
2025-01-24 09:34:10-05:00,224.9,224.94,224.64,224.65,20834.0,224.803,101
2025-01-24 09:34:20-05:00,224.65,224.72,224.5,224.58,40891.0,224.583,225
2025-01-24 09:34:30-05:00,224.59,224.65,224.51,224.55,37404.0,224.573,169
2025-01-24 09:34:40-05:00,224.58,224.58,224.39,224.44,33677.0,224.467,192
2025-01-24 09:34:50-05:00,224.46,224.52,224.43,224.52,24088.0,224.466,120
2025-01-24 09:35:00-05:00,224.48,224.64,224.48,224.62,26422.0,224.562,140
2025-01-24 09:35:10-05:00,224.62,224.71,224.5,224.65,24733.0,224.597,128
2025-01-24 09:35:20-05:00,224.66,224.8,224.66,224.74,16682.0,224.739,104
2025-01-24 09:35:30-05:00,224.72,224.72,224.56,224.65,29875.0,224.611,157
