date,open,high,low,close,volume,average,barCount
2025-01-31 09:30:00-05:00,526.92,527.06,526.74,527.01,176677.0,526.88,478
2025-01-31 09:30:10-05:00,527.02,527.17,526.87,527.09,26168.0,526.996,164
2025-01-31 09:30:20-05:00,527.09,527.12,527.01,527.03,84595.0,527.05,346
2025-01-31 09:30:30-05:00,527.05,527.15,527.03,527.04,12756.0,527.072,69
2025-01-31 09:30:40-05:00,527.06,527.17,527.05,527.16,10090.0,527.114,67
2025-01-31 09:30:50-05:00,527.16,527.32,527.1,527.32,51043.0,527.17,254
2025-01-31 09:31:00-05:00,527.34,527.38,527.09,527.18,34290.0,527.179,186
2025-01-31 09:31:10-05:00,527.21,527.68,527.2,527.59,43378.0,527.4,249
2025-01-31 09:31:20-05:00,527.61,527.74,527.55,527.73,18028.0,527.687,103
2025-01-31 09:31:30-05:00,527.75,527.78,527.67,527.78,67250.0,527.736,225
2025-01-31 09:31:40-05:00,527.76,528.29,527.7,528.25,100287.0,528.021,384
2025-01-31 09:31:50-05:00,528.29,528.46,528.28,528.39,27677.0,528.379,152
2025-01-31 09:32:00-05:00,528.37,528.44,528.19,528.28,24724.0,528.339,112
2025-01-31 09:32:10-05:00,528.25,528.26,528.03,528.06,18789.0,528.145,91
2025-01-31 09:32:20-05:00,528.09,528.1,527.87,528.01,26265.0,527.994,129
2025-01-31 09:32:30-05:00,528.0,528.16,527.89,528.16,53969.0,527.987,236
2025-01-31 09:32:40-05:00,528.17,528.26,528.09,528.09,21722.0,528.19,130
2025-01-31 09:32:50-05:00,528.09,528.1,527.79,527.82,16445.0,528.003,48
2025-01-31 09:33:00-05:00,527.81,527.81,527.56,527.66,32948.0,527.628,158
2025-01-31 09:33:10-05:00,527.74,528.09,527.71,528.08,15154.0,527.932,83
2025-01-31 09:33:20-05:00,528.09,528.15,527.8,527.84,6787.0,528.003,36
2025-01-31 09:33:30-05:00,527.88,527.88,527.59,527.67,5534.0,527.698,35
2025-01-31 09:33:40-05:00,527.59,527.91,527.58,527.9,12831.0,527.754,64
2025-01-31 09:33:50-05:00,527.87,527.96,527.87,527.89,18059.0,527.93,88
2025-01-31 09:34:00-05:00,527.88,527.96,527.81,527.93,5982.0,527.871,49
2025-01-31 09:34:10-05:00,527.88,527.93,527.72,527.8,5746.0,527.85,26
2025-01-31 09:34:20-05:00,527.75,528.06,527.65,528.0,9718.0,527.903,40
2025-01-31 09:34:30-05:00,527.99,528.09,527.99,528.01,20672.0,528.025,82
2025-01-31 09:34:40-05:00,527.96,528.02,527.86,527.86,7020.0,527.95,46
2025-01-31 09:34:50-05:00,527.94,527.94,527.77,527.83,1565.0,527.86,14
2025-01-31 09:35:00-05:00,527.82,528.05,527.82,527.86,23016.0,527.919,127
2025-01-31 09:35:10-05:00,527.83,527.84,527.61,527.71,8541.0,527.766,41
2025-01-31 09:35:20-05:00,527.77,527.88,527.65,527.88,19758.0,527.779,67
2025-01-31 09:35:30-05:00,527.83,527.83,527.72,527.72,3717.0,527.776,22
2025-01-31 09:35:40-05:00,527.66,527.66,527.25,527.3,25534.0,527.432,142
2025-01-31 09:35:50-05:00,527.34,527.41,527.29,527.39,16690.0,527.355,57
2025-01-31 09:36:00-05:00,527.31,527.33,527.13,527.16,5738.0,527.232,29
2025-01-31 09:36:10-05:00,527.2,527.34,527.18,527.23,6382.0,527.237,25
2025-01-31 09:36:20-05:00,527.22,527.22,526.98,526.98,13600.0,527.049,52
2025-01-31 09:36:30-05:00,526.96,526.98,526.85,526.9,15212.0,526.925,89
2025-01-31 09:36:40-05:00,526.91,526.97,526.72,526.81,8681.0,526.836,50
2025-01-31 09:36:50-05:00,526.84,526.92,526.77,526.83,13462.0,526.891,65
2025-01-31 09:37:00-05:00,526.84,527.14,526.84,527.0,8078.0,526.949,37
2025-01-31 09:37:10-05:00,527.01,527.05,526.86,526.96,12651.0,526.983,48
2025-01-31 09:37:20-05:00,527.0,527.13,526.9,527.13,16576.0,526.992,87
2025-01-31 09:37:30-05:00,527.22,527.4,527.15,527.34,9341.0,527.344,16
2025-01-31 09:37:40-05:00,527.33,527.36,527.25,527.3,29708.0,527.277,76
2025-01-31 09:37:50-05:00,527.31,527.46,527.28,527.35,20443.0,527.316,53
2025-01-31 09:38:00-05:00,527.37,527.51,527.32,527.47,14680.0,527.435,74
2025-01-31 09:38:10-05:00,527.48,527.55,527.41,527.48,11315.0,527.467,53
2025-01-31 09:38:20-05:00,527.5,527.65,527.47,527.48,7924.0,527.548,48
2025-01-31 09:38:30-05:00,527.45,527.48,527.37,527.45,6375.0,527.408,36
2025-01-31 09:38:40-05:00,527.42,527.45,527.25,527.25,33843.0,527.355,115
2025-01-31 09:38:50-05:00,527.23,527.27,527.22,527.23,4210.0,527.232,15
2025-01-31 09:39:00-05:00,527.29,527.53,527.29,527.34,15206.0,527.435,58
2025-01-31 09:39:10-05:00,527.32,527.37,527.2,527.25,7701.0,527.277,43
2025-01-31 09:39:20-05:00,527.27,527.28,527.06,527.15,13965.0,527.133,51
2025-01-31 09:39:30-05:00,527.1,527.42,527.1,527.42,4538.0,527.251,29
2025-01-31 09:39:40-05:00,527.46,527.57,527.46,527.49,6861.0,527.527,45
2025-01-31 09:39:50-05:00,527.48,527.56,527.44,527.52,8099.0,527.513,29
2025-01-31 09:40:00-05:00,527.54,527.64,527.49,527.49,8552.0,527.595,45
2025-01-31 09:40:10-05:00,527.56,527.6,527.55,527.57,1700.0,527.577,8
2025-01-31 09:40:20-05:00,527.57,527.7,527.57,527.68,6123.0,527.63,51
2025-01-31 09:40:30-05:00,527.64,527.8,527.64,527.7,14939.0,527.723,104
2025-01-31 09:40:40-05:00,527.74,527.97,527.72,527.92,14521.0,527.884,106
2025-01-31 09:40:50-05:00,527.91,527.99,527.83,527.84,13017.0,527.922,58
2025-01-31 09:41:00-05:00,527.8,527.83,527.7,527.82,10297.0,527.778,33
2025-01-31 09:41:10-05:00,527.8,527.84,527.79,527.84,2049.0,527.816,8
2025-01-31 09:41:20-05:00,527.89,528.05,527.84,528.0,17155.0,527.985,99
2025-01-31 09:41:30-05:00,528.01,528.01,527.83,527.86,11700.0,527.902,45
2025-01-31 09:41:40-05:00,527.85,527.91,527.77,527.84,12655.0,527.842,52
2025-01-31 09:41:50-05:00,527.85,527.93,527.84,527.93,2054.0,527.897,9
2025-01-31 09:42:00-05:00,527.97,528.03,527.68,527.68,14620.0,527.886,68
2025-01-31 09:42:10-05:00,527.69,527.78,527.63,527.74,7427.0,527.708,40
2025-01-31 09:42:20-05:00,527.75,527.81,527.69,527.69,9215.0,527.736,52
2025-01-31 09:42:30-05:00,527.68,527.77,527.66,527.76,7984.0,527.709,41
